1,22,50.42,1
2,12,48.22,2
3,146,130.8,2
4,11,109.22,1
5,31,108.65,2
6,50,31.65,1
7,11,52.58,1
8,304,58.71,1
9,14,93.23,3
10,21,117,1
11,4,35.6,1
12,169,138.03,2
13,11,42,1
14,110,45.36,2
15,213,82.6,2
16,9,88.11,1
17,3,164.87,1
18,47,42.2,2
19,4,68.11,1
20,1,82.59,1
21,9,30.23,1
22,2,24.8,1
23,60,52.6,1
24,4,91.69,1
25,1,45.54,1
26,41,84.24,1
27,18,68.23,1
28,2,62.03,1
29,74,112.93,1
30,12,131.91,1
31,1129,63.58,3
32,9,35.86,1
33,46,70.09,2
34,2,200,1
35,5,54.84,2
36,24,72.75,2
37,1,94.09,1
38,128,71.08,2
39,41,97.03,1
40,54,44.48,1
41,15,64.21,1
42,62,70.1,2
43,1,76.7,1
44,402,133.77,2
45,46,107.61,1
46,58,42.78,1
47,38,124.55,1
48,13,68.11,1
49,1,70.78,2
50,211,112.3,1
51,941,95.43,1
52,1423,63.45,3
53,20,77.3,2
54,306,164.18,1
55,148,66.95,2
56,121,30.62,2
57,19,165.92,1
58,67,51.99,2
59,14,63.17,2
60,2,84.97,2
61,51,88.7,1
62,101,50.64,1
63,5,38,1
64,19,70.53,3
65,1,105.68,1
66,1,46.12,1
67,19,37.63,2
68,97,87.38,1
69,40,50.33,2
70,3,134.17,1
71,1,47.65,3
72,5,99.13,1
73,112,43.42,2
74,12,83.6,1
75,5,54.65,1
76,26,81.15,2
77,35,53.43,1
78,20,74.85,3
79,41,90.33,1
80,5,99.39,1
81,43,123.16,1
82,924,110.13,1
83,306,71.43,1
84,45,56.02,1
85,11,85.12,2
86,141,75,1
87,100,135.68,3
88,1,35.59,1
89,11,62.38,1
90,21,92.04,1
91,86,46.05,1
92,24,34.56,1
93,3,43.23,1
94,27,83.82,1
95,122,38.67,2
96,11,88,1
97,109,56.96,1
98,31,55.4,1
99,10,74.72,1
100,6,295.21,1
101,1,222.97,1
102,1,113.52,1
103,1,127.2,2
104,15,47.6,1
105,14,65.29,1
106,79,81.24,1
107,2,42.89,2
108,77,69.66,1
109,102,69.65,2
110,28,64.44,3
111,216,88.83,1
112,17,35.3,2
113,10,45.5,3
114,44,73.77,2
115,23,67.94,2
116,13,22.2,1
117,5,48.38,1
118,58,56.65,1
119,22,32.27,2
120,3,61.54,1
121,55,82.37,1
122,1,53.81,1
123,22,71.8,1
124,1101,63.54,3
125,1,101.52,1
126,10,51.7,2
127,141,114.17,2
128,605,21.48,1
129,131,36.21,1
130,11,44.24,2
131,29,54.7,1
132,31,51,1
133,21,42.92,2
134,24,68.08,2
135,19,70.15,2
136,33,57.23,1
137,8,132.16,1
138,7,58.62,1
139,2,61.89,1
140,332,92.45,1
141,24,71.29,2
142,2,138.05,1
143,105,45.12,2
144,10,70.45,1
145,25,78.54,1
146,135,52.58,1
147,216,30.98,2
148,116,95.66,2
149,9,87.23,1
150,136,92.47,1
151,13,89.2,2
152,17,28.8,2
153,20,46.68,1
154,420,2.36,1
155,56,68.92,1
156,105,68.45,2
157,7,102.52,1
158,101,59.67,2
159,50,77.86,2
160,2,105.12,3
161,1307,63.27,3
162,17,133.24,1
163,49,67.33,1
164,43,68.69,2
165,309,58.3,1
166,213,111.06,1
167,3,117.63,1
168,4,85.12,1
169,18,42.01,1
170,12,96.46,1
171,22,57.5,3
172,14,90.4,2
173,30,42.59,2
174,10,50.11,1
175,3,32.6,1
176,7,103.62,1
177,1,135.89,1
178,17,166.98,1
179,1,58.13,1
180,49,38.67,1
181,1,120.5,1
182,3,86.8,1
183,4,41.82,1
184,26,56.63,1
185,1,79.06,1
186,10,65.82,1
187,9,38.43,1
188,30,85.95,1
189,11,48.42,1
190,28,80.87,1
191,13,165.11,4
192,28,71.5,1
193,3,82.54,1
194,3,39.97,3
195,27,146.68,1
196,5,31.6,1
197,7,92,1
198,3,73.5,1
199,2,23.82,2
200,2,37.3,1
201,4,49.1,1
202,1,30.94,1
203,75,65.66,1
204,60,27.19,1
205,1,46.92,1
206,107,78.3,1
207,30,88.5,1
208,7,24.05,1
209,2,92.54,1
210,3,60.05,1
211,26,89,1
212,5,23.86,1
213,7,25,1
214,2,148.41,1
215,53,47.44,1
216,102,80.14,1
217,24,53.42,1
218,3,66.36,1
219,22,28.13,1
220,2,88.14,1
221,3,77.91,1
222,3,26.4,1
223,5,119.4,1
224,106,33.49,2
225,7,96.4,1
226,34,53.22,1
227,24,142.98,2
228,1,50.16,3
229,10,108.49,1
230,11,29.16,2
231,37,79.27,1
232,2,64.21,1
233,29,121.9,2
234,1,145.28,1
235,8,49.99,1
236,58,58.67,1
237,10,55.74,1
238,13,77.56,2
239,1,49.33,2
240,5,47.02,3
241,1,37.18,6
242,1,106,3
243,1,39.62,3
244,2,81.62,1
245,35,41.42,1
246,1006,62.15,1
247,17,59.81,2
248,38,20.45,1
249,18,89.56,1
250,3,570,1
251,4,21.4,1
252,17,49.46,1
253,23,45.12,1
254,22,68.95,2
255,37,76.95,2
256,4,72.93,1
257,14,65.9,2
258,21,31.84,1
259,6,20.69,1
260,6,29.36,1
261,1,67.85,3
262,1,51.07,1
263,20,29.21,1
264,5,23.7,1
265,18,73.94,1
266,1,93.89,1
267,14,68.37,1
268,1,73.65,1
269,11,31.62,2
270,18,60.2,2
271,4,48.5,1
272,11,57.74,2
273,16,78.24,1
274,1,64.24,1
275,72,34.46,1
276,3,124.01,3
277,61,34.9,1
278,47,22.19,1
279,22,83.87,2
280,4,107.77,1
281,6,61.4,2
282,12,128.8,1
283,58,58.46,2
284,5,40.06,2
285,133,78.3,2
286,10,106,2
287,5,74.54,1
288,11,81.72,2
289,14,67.64,2
290,11,42.98,2
291,1,40.57,3
292,7,105.71,1
293,1,106.43,3
294,274,29.74,1
295,4,65.4,1
296,3,144.6,1
297,81,24.74,1
298,9,32.89,1
299,41,20.92,1
300,7,93.76,1
301,6,20.73,1
302,6,26.6,1
303,6,40,1
304,234,27.46,1
305,50,51.42,1
306,32,71.39,1
307,33,41.16,1
308,7,65.5,1
309,162,34.95,1
310,2,60.66,1
311,46,24.32,1
312,50,23.02,1
313,6,59.73,1
314,7,33.05,1
315,41,23.25,1
316,13,30.47,1
317,72,28.33,1
318,7,35.97,1
319,26,20.85,1
320,86,20.55,1
321,2,142.9,1
322,69,18.44,1
323,112,26.76,1
324,9,53.1,1
325,90,35.2,2
326,54,18.84,1
327,1,80.26,1
328,13,76.81,3
329,26,79.54,2
330,13,72.07,1
331,315,29.66,1
332,209,29.03,1
333,57,82.37,1
334,2,33.8,1
335,71,19.72,1
336,35,15,2
337,9,58.96,1
338,15,42.73,2
339,20,25.32,1
340,339,14.41,1
341,2,38.97,1
342,2,44.44,2
343,1,27.26,1
344,19,83.88,2
345,1832,25.55,1
346,1,40.4,1
347,24,136.86,1
348,301,90.75,1
349,2,59.36,1
350,32,26.99,1
351,807,67.22,1
