105,9,DE LA FLAUDIERE,0,JUJURIEUX
106,392,DE VOUVRAY,3,VALSERHONE
107,5186,MATAFELON,8,MATAFELON-GRANGES
108,8,GEORGES MARIN,0,VALSERHONE
109,6066,DES BATTOIRS,0,THOIRY
110,1,CHARLES DE GAULLE,13,OYONNAX
111,54,ANTOINE JACQUET,0,VALSERHONE
112,5208,LE BULOZ,8,HAUT-VALROMEY
113,7,DU DOCTEUR GREZEL,0,NANTUA
114,247,DE PRE DE PLANCHE,5,PREVESSIN-MOENS
115,120,DU MARTINET,5,CESSY
116,12,DU MURET,0,OYONNAX
117,47,DU CHANE,0,ARBENT
118,1,JOLIOT CURIE,0,VALSERHONE
119,15,DU LAVOIR,5,SAINT-VULBAS
120,68,DES USINIERS,0,GEX
121,5001,HONORE DE BALZAC,2,BELLEY
122,9,DES FRERES SERPOLLET,0,CULOZ
123,231,DE LA RABOUDIERE,0,LOYETTES
124,80,DE MEYRIN,0,FERNEY-VOLTAIRE
125,20,HAMEAU DES CHENES,8,THOIRY
126,47,DES ECOLIERS,5,DIVONNE-LES-BAINS
127,48,DE GENEVE,0,FERNEY-VOLTAIRE
128,40,DES PISTES,10,LELEX
129,4,DU PEGAN,10,FERNEY-VOLTAIRE
130,4,DE L HOTEL DE VILLE,12,JUJURIEUX
131,76,COLONEL XAVIER RENDU,0,VALSERHONE
132,18,FRANCIS BLANCHARD,1,GEX
133,711,DES MORAINES,0,CHEVRY
134,120,DU MARTINET,5,CESSY
135,35,BUFFON,0,VALSERHONE
136,20,PARMENTIER,0,VALSERHONE
137,461,JEAN-JACQUES ROUSSEAU,0,ST-GENIS-POUILLY
138,114,DU CONTE DES PERMISSIONS,0,DIVONNE-LES-BAINS
139,38,JOSEPH MARION,0,VALSERHONE
140,242,DES VERTES CAMPAGNES,0,GEX
141,44,PASTEUR,0,LAGNIEU
142,34,DES ECOLES,0,ST-GENIS-POUILLY
143,183,DU VIEUX BOURG,0,SEGNY
144,54,ARISTIDE BRIAND,0,AMBERIEU-EN-BUGEY
145,99,DE L AMITIE,0,BELLEY
146,16,DES HAUTAINS,0,ST-GENIS-POUILLY
147,5245,LES MARS,8,MIJOUX
148,17,DES ALPES,1,FERNEY-VOLTAIRE
149,35,DES PRELES,0,SERGY
150,78,DU GEN SARRAIL,1,AMBERIEU-EN-BUGEY
151,22,DE L AVENIR,0,VALSERHONE
152,7,TURENNE,0,VALSERHONE
153,86,GUSTAVE EIFFEL,0,BELLIGNAT
154,16,DU JURA,1,FERNEY-VOLTAIRE
155,6,GEORGES MARIN,0,VALSERHONE
156,346,DE PRE BAILLY,0,GEX
157,195,DU SAUGY,10,ORNEX
158,6066,DES BATTOIRS,0,THOIRY
159,348,DE PRE BAILLY,0,GEX
160,72,DES COLLINES,5,SERGY
161,86,DE MEYRIN,0,FERNEY-VOLTAIRE
162,181,PARC JEAN MONNET,0,ST-GENIS-POUILLY
163,28,DU PEUDEX,5,DIVONNE-LES-BAINS
164,62,DU PONT DE GREMAZ,5,THOIRY
165,1,ALBERT CAMUS,2,VALSERHONE
166,10,DES HAUTAINS,0,ST-GENIS-POUILLY
167,13,DES FOURS,12,BELLEY
168,4,DU MARAIS,5,PREVESSIN-MOENS
169,67,DE GENEVE,3,CESSY
170,644,D ARBERE,0,DIVONNE-LES-BAINS
171,67,DE CHAVORNOD,3,BELLEY
172,96,DU JURA,0,DIVONNE-LES-BAINS
173,282,DES LONGES RAYES,5,CESSY
174,152,GRANDE RUE,6,DIVONNE-LES-BAINS
175,170,DES TERREAUX,0,GEX
176,399,DU COTEILLON,0,LAGNIEU
177,780,DE LA REPUBLIQUE,0,FARGES
178,53,DES PRUNUS,2,ST-GENIS-POUILLY
179,71,DE LA PRALAY,5,CROZET
180,46,DES NATIONS,1,VILLARS-LES-DOMBES
181,13,DE LAYE,0,MEXIMIEUX
182,151,DE BELLEVILLE,3,MONTCEAUX
183,9,NEUVE,0,MONTLUEL
184,768,EDOUARD HERRIOT,0,JASSANS-RIOTTIER
185,172,HECTOR BERLIOZ,0,BEAUREGARD
186,2,DE LYON,0,MEXIMIEUX
187,1172,DE GENEVE,3,DAGNEUX
188,62,DU BONATIER,5,MIONNAY
189,40,DES CANNES,14,VILLIEU-LOYES-MOLLON
190,12,LUCIEN QUITTELIER,0,CHAUNY
191,27,FERNAND THUILLART,0,LAON
192,1,CONDORCET,0,LAON
193,15,DU REMPART SAINT REMY,0,LAON
194,11,BONNOT,0,LAON
195,2,MAZIN,0,LA FERE
196,13,PAUL DOUMER,0,LAON
197,20,DES OEUVRES DE CHINE,0,CHAUNY
198,13,VINCHON,0,LAON
199,15,DU CHANGE,0,LAON
200,13,PAUL DOUMER,0,LAON
201,13,PAUL DOUMER,0,LAON
202,27,CARLIER HENNECART,0,LAON
203,9001,JEAN DE LA FONTAINE,0,LAON
204,27,JEAN RACINE,0,LAON
205,10,DU MARCHE,12,LAON
206,32,DE LA LINOTTE,0,LAON
207,1,CONDORCET,0,LAON
208,1,DES NEUFLIERS,11,LAON
209,30,DE L EGLISE,0,URCEL
210,1,BOUZIER,12,CHAUNY
211,1,CONDORCET,0,LAON
212,30,SERURIER,0,LAON
213,16,DE MONTEVIDEO,0,SAINT GOBAIN
214,108,GAMBETTA,15,TERGNIER
215,32,DE LA LINOTTE,0,LAON
216,32,DE LA LINOTTE,0,LAON
217,32,DE LA LINOTTE,0,LAON
218,9003,ROBERT GODARD,0,FOLEMBRAY
219,4,DE LA CONGREGATION,0,LAON
220,21,AMPERE,0,LAON
221,3,CARNOT,1,LAON
222,30,SERURIER,0,LAON
223,2,DE LA SELLERIE,0,SAINT QUENTIN
224,1,D ISLE,0,SAINT QUENTIN
225,23,DU GOUVERNEMENT,0,SAINT QUENTIN
226,15,VARLET,0,SAINT QUENTIN
227,2,FERNAND MARQUIGNY,12,SOISSONS
228,36,DU MOULIN BOTTE,0,COURMELLES
229,12,DES PAVEURS,0,SOISSONS
230,2,JEANNE D ARC,15,SOISSONS
231,2,JEAN DELAPLACE,0,SOISSONS
232,1,DE LA SURCHETTE,0,SOISSONS
233,18,QUINQUET,0,SOISSONS
234,1,DU PONT DE LA TOURNELLE,0,VIC SUR AISNE
235,7,DE FONTENOY,0,VIC SUR AISNE
