1370,1
1170,1
1220,1
1630,1
1200,1
1350,1
1100,1
1130,1
1500,1
1150,1
1210,1
1300,1
1590,1
1280,1
1110,1
1640,1
1710,1
1410,1
1580,1
1550,1
1260,1
1360,1
1330,1
1800,1
1090,1
1120,1
1480,1
1390,1
2300,2
2000,2
2800,2
2410,2
2700,2
2670,2
2100,2
2200,2
2290,2
2600,2
2880,2
2370,2
2400,2
2130,2
3000,3
3400,3
3300,3
3200,3
4200,4
4500,4
4400,4
4160,4
4000,4
4140,4
4260,4
4120,4
4850,4
4340,4
4800,4
4130,4
4300,4
4100,4
4700,4
4180,4
4210,4
4290,4
4220,4
4230,4
4330,4
5300,5
5260,5
5230,5
5560,5
5200,5
5100,5
5170,5
5340,5
5120,5
5000,5
5250,5
5800,5
5460,5
5240,5
5400,5
5700,5
5600,5
5290,5
5500,5
5220,5
5160,5
5330,5
6000,6
6300,6
6100,6
6730,6
6340,6
6950,6
6200,6
6500,6
6190,6
6240,6
6430,6
6540,6
6380,6
6230,6
6420,6
6470,6
6310,6
6440,6
6320,6
6710,6
6450,6
6390,6
6660,6
6670,6
6360,6
6830,6
6790,6
6260,6
6110,6
6370,6
6220,6
6600,6
6160,6
6550,6
6250,6
6410,6
6400,6
6150,6
6210,6
6130,6
6580,6
6590,6
6510,6
6140,6
6530,6
6460,6
6610,6
6620,6
6560,6
6750,6
6800,6
6270,6
6700,6
6480,6
6570,6
7700,7
7600,7
7140,7
7150,7
7200,7
7800,7
7000,7
7120,7
7220,7
7300,7
7130,7
7500,7
7100,7
7370,7
7340,7
7430,7
8000,8
8600,8
8090,8
8300,8
8200,8
8110,8
8140,8
9140,9
9700,9
9000,9
9100,9
9250,9
9110,9
9500,9
9300,9
9350,9
10300,10
10430,10
10100,10
10800,10
10120,10
10000,10
10400,10
10600,10
10200,10
10150,10
10420,10
10500,10
11000,11
11400,11
11150,11
11800,11
11290,11
11300,11
11190,11
11510,11
11130,11
11210,11
11430,11
11370,11
11100,11
11110,11
11560,11
11200,11
11440,11
11120,11
12000,12
13002,13
13004,13
13001,13
13016,13
13015,13
13003,13
13014,13
13013,13
13010,13
