1,2,52
2,3,48
3,6,130
4,5,109
5,4,91
6,2,32
7,2,52
8,2,60
9,4,96
10,5,117
11,2,36
12,5,137
13,2,43
14,2,45
15,4,84
16,4,88
17,6,143
18,2,42
19,3,65
20,3,75
21,1,30
22,1,25
23,2,52
24,3,88
25,1,45
26,3,83
27,3,68
28,3,64
29,4,109
30,4,133
31,3,63
32,3,50
33,3,74
34,4,121
35,2,62
36,4,73
37,2,88
38,3,71
39,4,101
40,2,45
41,2,63
42,3,68
43,4,90
44,4,120
45,5,106
46,2,43
47,5,120
48,2,67
49,3,68
50,5,112
51,4,95
52,3,63
53,4,75
54,6,160
55,3,67
56,1,31
57,5,166
58,2,56
59,3,63
60,3,88
61,4,87
62,2,51
63,1,39
64,3,71
65,6,143
66,3,53
67,2,39
68,4,89
69,2,50
70,4,136
71,3,62
72,4,102
73,2,43
74,4,83
75,2,55
76,3,81
77,3,56
78,3,75
79,4,90
80,4,86
81,5,118
82,5,110
83,3,70
84,3,56
85,4,85
86,4,74
87,4,133
88,2,33
89,3,63
90,4,100
91,2,46
92,2,34
93,2,43
94,4,80
95,2,39
96,3,92
97,2,57
98,3,55
99,2,79
100,6,190
101,3,170
102,4,113
103,4,127
104,2,49
105,3,74
106,4,83
107,2,32
108,3,69
109,3,69
110,3,64
111,4,88
112,3,35
113,2,40
114,4,77
115,3,67
116,1,30
117,2,48
118,2,56
119,2,32
120,4,68
121,4,80
122,3,53
123,3,71
124,3,63
125,6,102
126,2,42
127,4,115
128,2,21
129,1,36
130,2,48
131,2,54
132,2,54
133,2,41
134,3,67
135,3,69
136,2,56
137,5,131
138,2,63
139,3,60
140,3,105
141,3,71
142,5,101
143,1,30
144,3,75
145,4,77
146,2,58
147,2,22
148,5,106
149,4,87
150,5,92
151,5,89
152,1,40
153,2,46
154,0,2
155,3,68
156,3,68
157,4,103
158,2,59
159,4,77
160,4,106
161,3,63
162,4,133
163,3,63
164,3,65
165,2,59
166,5,112
167,5,117
168,4,82
169,2,42
170,5,96
171,3,58
172,4,90
173,2,42
174,1,35
175,2,33
176,4,88
177,2,60
178,5,166
179,2,65
180,2,39
181,5,110
182,3,90
183,1,47
184,2,56
185,3,77
186,3,65
187,3,44
188,4,85
189,2,48
190,4,82
